days,weight_kg
0.09880803011292372, 3.218860601673101
0.433545438250583, 3.214687902187902
0.7682828463882423, 3.2007789039039034
1.1030202545258998, 3.193824404761904
1.437757662663559, 3.1979971042471034
1.7724950708012184, 3.2021698037323034
2.1072324789388777, 3.2091243028743026
2.441969887076537, 3.216078802016301
2.7767072952141962, 3.2244242009867
3.1114447033518555, 3.2313787001286993
3.446182111489515, 3.2397240990990985
3.780919519627174, 3.2480694980694977
4.115656927764833, 3.256414897039896
4.450394335902493, 3.2647602960102953
4.785131744040152, 3.2731056949806945
5.119869152177811, 3.284232893607893
5.4546065603154705, 3.292578292578292
5.78934396845313, 3.3009236915486913
6.124081376590789, 3.3120508901758896
6.458818784728445, 3.321787188974689
6.793556192866104, 3.331523487773487
7.1003988169922945, 3.3398688867438864
7.463031009141423, 3.3509960853710847
7.797768417279082, 3.362123283998283
8.132505825416741, 3.3732504826254823
8.4672432335544, 3.3829867814242807
8.80198064169206, 3.39272308022308
9.13671804982972, 3.4038502788502782
9.471455457967378, 3.4149774774774766
9.806192866105038, 3.423322876447876
10.140930274242697, 3.435840974903474
10.475667682380356, 3.4469681735306734
10.810405090518016, 3.4567044723294718
11.145142498655675, 3.46922257078507
11.479879906793334, 3.4831315690690685
11.814617314930993, 3.491476968039467
12.149354723068653, 3.502604166666666
12.484092131206312, 3.5151222651222644
12.818829539343971, 3.527640363577863
13.15356694748163, 3.540158462033461
13.488304355619286, 3.5526765604890596
13.845357590966122, 3.5610219594594588
14.157779171894605, 3.576321857571857
14.492516580032264, 3.5902308558558556
14.827253988169923, 3.601358054483054
15.161991396307583, 3.6152670527670523
15.496728804445242, 3.6277851512226507
15.831466212582901, 3.640303249678249
16.16620362072056, 3.6528213481338474
16.50094102885822, 3.6653394465894458
16.835678436995877, 3.680639344701844
17.17041584513354, 3.6917665433290425
17.505153253271196, 3.705675541613041
17.83989066140886, 3.7168027402402393
18.174628069546515, 3.7307117385242385
18.509365477684177, 3.744620736808236
18.844102885821833, 3.7571388352638344
19.178840293959496, 3.769656933719433
19.51357770209715, 3.783565932003431
19.848315110234815, 3.7974749302874304
20.18305251837247, 3.808602128914628
20.517789926510133, 3.822511127198627
20.85252733464779, 3.830161076254826
21.18726474278545, 3.848938223938223
21.522002150923107, 3.8614563223938214
21.85673955906077, 3.8739744208494207
22.191476967198426, 3.889274318961819
22.52621437533609, 3.9004015175890165
22.860951783473745, 3.914310515873016
23.195689191611407, 3.9254377145002133
23.530426599749063, 3.9393467127842126
23.865164007886726, 3.950473911411411
24.19990141602438, 3.9643829096954093
24.56253360817351, 3.976205558236808
24.8693762322997, 3.989419106606606
25.204113640437356, 4.000546305233804
25.510956264563546, 4.009587154118403
25.873588456712675, 4.028364301801801
26.208325864850337, 4.0408824002573995
26.543063272987993, 4.053400498712998
26.877800681125656, 4.065918597168596
27.21253808926331, 4.079827595452595
27.547275497400975, 4.090954794079794
27.854118121527158, 4.099300193050192
28.216750313676293, 4.115990990990991
28.55148772181395, 4.127118189618189
28.88622512995161, 4.139636288073788
29.220962538089267, 4.150763486700986
29.55569994622693, 4.164672484984985
29.890437354364586, 4.1757996836121825
30.22517476250225, 4.189708681896182
30.559912170639905, 4.20083588052338
30.894649578777567, 4.2133539789789785
31.229386986915223, 4.224481177606177
31.56412439505288, 4.236999276061775
31.89886180319054, 4.249517374517374
32.2335992113282, 4.262035472972973
32.56833661946586, 4.273162671600171
32.903074027603516, 4.2842898702273695
33.23781143574118, 4.296807968682968
33.572548843878835, 4.306544267481767
33.9072862520165, 4.3204532657657655
34.24202366015415, 4.332971364221364
34.60465585230329, 4.344446287805662
34.91149847642947, 4.355225761475761
35.246235884567135, 4.36635296010296
35.58097329270479, 4.380261958386957
35.91571070084245, 4.3913891570141566
36.25044810898011, 4.401125455812955
36.58518551711777, 4.412252654440154
36.91992292525543, 4.4247707528957525
37.25466033339309, 4.435897951522952
37.589397741530746, 4.44563425032175
37.92413514966841, 4.4581523487773485
38.258872557806065, 4.469279547404547
38.59360996594372, 4.481102195945946
38.92834737408138, 4.491533944658944
39.26308478221904, 4.502661143286143
39.56992740634523, 4.509267917471042
39.93255959849436, 4.52491554054054
40.26729700663202, 4.536042739167739
40.602034414769676, 4.545779037966538
40.93677182290734, 4.558297136422136
41.271509231044995, 4.566642535392535
41.60624663918266, 4.575822474259974
41.94098404732031, 4.590287832475332
42.275721455457976, 4.600024131274131
42.61045886359563, 4.609760430072929
42.945196271733295, 4.620887628700128
43.27993367987095, 4.6334057271557265
43.61467108800861, 4.641751126126126
43.94940849614627, 4.654269224581724
44.28414590428393, 4.664005523380522
44.61888331242159, 4.675132722007722
44.95362072055925, 4.686259920634921
45.288358128696906, 4.695996219433719
45.62309553683456, 4.705732518232518
45.957832944972225, 4.716859716859717
46.29257035310988, 4.725205115830115
46.62730776124754, 4.7377232142857135
46.9620451693852, 4.747459513084513
47.29678257752286, 4.758586711711711
47.63151998566052, 4.76693211068211
47.96625739379818, 4.7780593093093096
48.32888958594731, 4.787795608108108
48.60783742606203, 4.793011482464607
48.970469618211155, 4.8072682057057055
49.30520702634881, 4.817004504504504
49.63994443448648, 4.828131703131703
49.974681842624136, 4.837868001930501
50.30941925076179, 4.8476043007293
50.64415665889945, 4.858731499356499
50.97889406703712, 4.867076898326898
51.31363147517477, 4.8782040969540965
51.64836888331243, 4.889331295581295
51.983106291450085, 4.897676694551694
52.317843699587755, 4.906022093522092
52.65258110772541, 4.917149292149292
52.987318515863066, 4.925494691119691
53.32205592400072, 4.935230989918489
